YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1954,-3.5,-5.6,3.7,6.7,14.5,18.3,15.6,17.3,14.5,10.6,3.4,3.6,-2.4,8.3,17.1,9.5,8.12
1955,-2,-2.3,0.5,6.8,11.6,15.6,19.4,19,15,9,4.7,2.6,-0.2,6.3,18,9.6,8.41
1956,0.1,-8.5,2.9,5.1,13.8,15,18.6,15.6,14.7,9.2,2.2,2.1,-1.9,7.3,16.4,8.7,7.61
1957,1,3.9,5.7,8.4,11.1,18.5,19.1,15.8,11.9,9.7,4.8,0.1,2.3,8.4,17.8,8.8,9.33
1958,-0.5,1.6,-0.1,5.5,14.1,15.3,18.3,17.5,14.8,10.2,4.3,2.2,0.4,6.5,17,9.8,8.43
1959,0.1,0,6.6,10.2,14.1,17.8,20.4,18.9,14.3,9,3.2,1,0.8,10.3,19,8.8,9.73
1960,-0.1,-0.9,3.8,7.2,14.2,17.7,16.8,16.9,13.5,9,5.8,2,0,8.4,17.1,9.4,8.74
1961,-1.5,4.3,6.4,11,10.9,17.9,16.2,16.4,16.5,11.5,4,-1.8,1.6,9.4,16.8,10.7,9.63
1962,1.9,0.5,0.6,9.6,10.8,15.1,15.6,16.1,12.4,9.5,3.6,-3.3,0.2,7,15.6,8.5,7.83
1963,-7.7,-5,2.6,8.8,13.8,18,20,17.8,15.1,9,7.5,-3.1,-5.3,8.4,18.6,10.5,8.05
1964,-2.3,-0.3,-0.1,9.3,14.4,19,19.1,16.5,14.2,7.7,5,1,-1.9,7.9,18.2,9,8.28
1965,1.3,-1.4,2.1,7.7,11.9,17,15.9,16.3,14.3,8.8,0.4,2.4,0.3,7.2,16.4,7.8,7.94
1966,-3.1,1,3.8,9.2,14.5,18.6,17.5,17.2,13.4,11.6,2.8,2.1,0.1,9.2,17.8,9.3,9.08
1967,0.3,3,6.1,7.3,14.4,16.3,20.4,17.9,15.5,11.8,4.6,1,1.8,9.3,18.2,10.6,9.98
